slide_id	type_label	prop_type_label	cell_count	cancer_type	area	perimeter	eccentricity	solidity	orientation	major_axis_length	minor_axis_length	aspect_ratio	circularity	centroid_x	centroid_y
BL-16-D49026	Lymphocyte	0.6306043639428577	366605	NSCLC	118.10030959752322	39.17648221588042	0.6071489481221539	0.9385606255759159	0.0083704297299492	14.01259464353377	10.524396132881943	1.3478842503161665	0.9405921913513493	13415.725670680979	15370.287974795761
BL-16-D49026	Neutrophil	0.008270333961176905	4808	NSCLC	123.35690515806988	40.12612874207958	0.6547714766480696	0.9291103876020136	0.0008937929400533499	14.534279197710445	10.348407289308732	1.4279857058565388	0.9148089624877463	12714.214018302828	13114.726081530782
BL-16-D49026	Plasma	0.049647805557705704	28863	NSCLC	167.19253022901293	47.259085708335995	0.6132502576069572	0.9412944578265138	0.004307407724344116	16.667816787356372	12.542785380517879	1.3456448231847766	0.9143244042920883	14643.105013338876	15282.01760038804
BL-16-N07888	all_cells	1.0	39006	NSCLC	154.4136543095934	46.80897305869532	0.7674866323318764	0.9222550031316158	-0.13126464075553268	18.155175790484886	10.334460184767192	1.8549562963129673	0.834855936859945	4826.197136337999	6986.128672511922
BL-16-N07888	immune_cells	0.6300312772393991	24575	NSCLC	130.66168870803662	42.6955794596147	0.7476548521861969	0.9244558488150997	-0.1413319847634905	16.459215944469047	9.75930460067309	1.7523391936542208	0.8622793131473507	4981.355625635809	7075.70504577823
BL-16-N07888	Connective tissue	0.258267958775573	10074	NSCLC	166.48987492555094	50.337140620125865	0.8251528523357864	0.912920358128936	-0.11574207426061789	20.198477491612778	10.099740855811595	2.1678827229023367	0.7765001161899552	4861.994044073854	7120.547746674608
BL-16-N07888	Eosinophil	0.011459775419166282	447	NSCLC	138.63534675615213	43.482726329872214	0.7216094651570572	0.9283447002691159	-0.13406330339987413	16.42706433404067	10.271861368553242	1.6225434535604626	0.8748425273592937	3360.8154362416108	5232.947427293065
BL-16-N07888	Epithelial	0.11170076398502794	4357	NSCLC	260.46109708515036	61.85232575173065	0.7460123373492468	0.9314244846751952	-0.11037167676062978	22.99657856273113	14.12124260363596	1.7102224143706641	0.815105435406303	3868.281615790682	6170.090773467982
BL-16-N07888	Lymphocyte	0.5302261190586064	20682	NSCLC	121.18489507784547	41.353888463498855	0.7536033437917251	0.9232805168223254	-0.1431449875361689	16.070942331447917	9.363859977985959	1.7794981119106743	0.8617820343284828	5237.096484866067	7262.853060632434
BL-16-N07888	Neutrophil	0.03163615853971184	1234	NSCLC	141.5672609400324	42.992832826889526	0.7155619834185158	0.9235111760688642	-0.11677777713335627	16.11651124804914	10.296353166516404	1.622045416305499	0.8817640137235103	3833.9436790923824	7320.542139384117
